studentId,name,subject,marks
2023001,,English,110
2023002,Khaled Ali,English,79
2023003,Omar Mohamed,English,71
2023004,Yara Hassan,English,100
2023005,Yara Ibrahim,English,71
2023006,Sara Salem,English,80
2023007,Khaled Hassan,English,70
2023008,Khaled Eid,English,68
2023009,Hassan Eid,English,100
2023010,Khaled Nasser,English,65
2023011,Khaled Eid,English,65
2023012,Fatma Fathy,English,62
2023013,Omar Eid,English,68
2023014,Ahmed Fathy,English,69
2023015,Ahmed Salem,English,74
2023016,Hassan Fathy,English,88
2023017,Ahmed Khaled,English,72
2023018,Khaled Eid,English,76
2023019,Fatma Eid,English,78
2023020,Sara Mohamed,English,67
2023021,Sara Hassan,English,100
2023022,Omar Gamal,English,100
2023023,Sara Salem,English,47
2023024,Yara Khaled,English,76
2023025,Omar Fathy,English,70
2023026,Mona Hassan,English,100
2023027,Fatma Khaled,English,84
2023028,Sara Fathy,English,60
2023029,Ali Khaled,English,39
2023030,Fatma Khaled,English,71
2023031,Ali Khaled,English,87
2023032,Yara Gamal,English,93
2023033,Ahmed Nasser,English,79
2023034,Yara Eid,English,46
2023035,Hassan Gamal,English,90
2023036,Khaled Salem,English,96
2023037,Nour Nasser,English,89
2023038,Fatma Ali,English,69
2023039,Omar Salem,English,68
2023040,Fatma Gamal,English,74
2023041,Omar Eid,English,58
2023042,Fatma Eid,English,69
2023043,Fatma Khaled,English,69
2023044,Hassan Fathy,English,82
2023045,Fatma Nasser,English,100
2023046,Ali Eid,English,98
2023047,Fatma Mohamed,English,96
2023048,Fatma Mohamed,English,74
2023049,Khaled Khaled,English,67
2023050,Ali Fathy,English,81
2023051,,English,56
2023052,Yara Khaled,English,58
2023053,Fatma Ibrahim,English,89
2023054,Khaled Salem,English,95
2023055,Omar Eid,English,100
2023056,Fatma Nasser,English,81
2023057,Hassan Nasser,English,67
2023058,Nour Nasser,English,96
2023059,Hassan Gamal,English,83
2023060,Sara Hassan,English,87
2023061,Yara Fathy,English,78
2023062,Omar Nasser,English,62
2023063,Ahmed Ibrahim,English,73
2023064,Omar Nasser,English,68
2023065,Hassan Ibrahim,English,87
2023066,Nour Gamal,English,78
2023067,Hassan Khaled,English,81
2023068,Nour Mohamed,English,73
