studentId,name,subject,marks
2023001,,Math,110
2023002,Hassan Gamal,Math,60
2023003,Ali Hassan,Math,64
2023004,Ali Eid,Math,62
2023005,Sara Ali,Math,95
2023006,Sara Ibrahim,Math,71
2023007,Omar Hassan,Math,86
2023008,Hassan Fathy,Math,71
2023009,Ali Fathy,Math,100
2023010,Ali Fathy,Math,78
2023011,Mona Hassan,Math,82
2023012,Fatma Nasser,Math,100
2023013,Ali Nasser,Math,84
2023014,Yara Mohamed,Math,93
2023015,Ahmed Hassan,Math,78
2023016,Hassan Ali,Math,91
2023017,Fatma Ibrahim,Math,71
2023018,Nour Nasser,Math,62
2023019,Omar Hassan,Math,93
2023020,Khaled Khaled,Math,78
2023021,Khaled Hassan,Math,87
2023022,Ahmed Ibrahim,Math,93
2023023,Mona Fathy,Math,60
2023024,Omar Khaled,Math,92
2023025,Ahmed Fathy,Math,77
2023026,Mona Ali,Math,72
2023027,Nour Hassan,Math,57
2023028,Mona Fathy,Math,80
2023029,Fatma Khaled,Math,60
2023030,Sara Eid,Math,81
2023031,Yara Hassan,Math,100
2023032,Ali Eid,Math,100
2023033,Nour Hassan,Math,65
2023034,Khaled Fathy,Math,100
2023035,Ali Eid,Math,82
2023036,Hassan Ali,Math,72
2023037,Mona Eid,Math,76
2023038,Sara Fathy,Math,83
2023039,Mona Nasser,Math,57
2023040,Omar Hassan,Math,71
2023041,Ali Ibrahim,Math,91
2023042,Ali Hassan,Math,97
2023043,Hassan Ibrahim,Math,63
2023044,Sara Khaled,Math,72
2023045,Nour Mohamed,Math,51
2023046,Fatma Khaled,Math,100
2023047,Ahmed Ali,Math,54
2023048,Ahmed Fathy,Math,74
2023049,Omar Ibrahim,Math,88
2023050,Ali Khaled,Math,79
2023051,,Math,63
2023052,Khaled Gamal,Math,90
2023053,Sara Ibrahim,Math,74
2023054,Yara Ali,Math,100
2023055,Yara Hassan,Math,72
2023056,Nour Ali,Math,81
2023057,Ali Khaled,Math,77
2023058,Nour Ibrahim,Math,57
2023059,Ahmed Nasser,Math,76
2023060,Sara Khaled,Math,72
2023061,Nour Gamal,Math,80
2023062,Khaled Ibrahim,Math,100
2023063,Omar Ibrahim,Math,86
2023064,Hassan Hassan,Math,86
2023065,Hassan Khaled,Math,66
2023066,Yara Hassan,Math,79
2023067,Khaled Ali,Math,53
2023068,Omar Mohamed,Math,86
2023069,Omar Salem,Math,100
2023070,Mona Hassan,Math,98
2023071,Hassan Ali,Math,83
2023072,Ali Gamal,Math,49
2023073,Mona Ali,Math,85
